DATE,COUNTRY,REVENUE_NET_USD_TOTAL,AD_COST_USD_PAID_DISPLAY,AD_COST_USD_EMAIL,AD_COST_USD_PAID_SOCIAL,AD_COST_USD_SEARCH_BRAND,AD_COST_USD_SEARCH_NON_BRAND,AD_COST_USD_SEARCH_SHOPPING,AD_IMPRESSIONS_PAID_DISPLAY,REVENUE_NET_USD_PAID_DISPLAY,REVENUE_NET_USD_EMAIL,REVENUE_NET__USD_PAID_SOCIAL,REVENUE_NET_USD_SEARCH_BRAND,REVENUE_NET_USD_SEARCH_NON_BRAND,REVENUE_NET_USD_SEARCH_SHOPPING
2024-02-14,US,606826,4855,1612,1113,12732,46676,34660,1177819,1424,60335,797,14118,19313,19504
2024-02-15,US,650971,6024,1592,729,12812,48490,35224,1654362,2239,61137,488,17350,22641,18035
2024-02-16,US,565807,3647,1316,735,9414,42912,28430,1112951,4154,50929,243,18115,16416,12163
2024-02-17,US,133664,2160,464,0,3124,23504,19410,526205,1792,16589,0,20692,8696,9791
2024-02-18,US,87157,2375,366,788,2628,23910,18814,574436,1441,10838,465,5721,9621,6222
2024-02-19,US,521169,3943,1428,0,9622,40852,30580,1253404,4236,46296,0,9468,18101,13803
2024-02-20,US,618724,5956,2030,662,12762,56428,36342,1831826,3464,67700,429,25574,23146,13977
2024-02-21,US,658659,5682,1612,0,12572,54220,33994,1565472,2567,80372,0,16151,23933,12007
2024-02-22,US,623380,5732,1592,651,13306,50444,29240,1572914,5346,54678,120,14220,27671,14607
2024-02-23,US,518374,2844,1316,1282,9886,43798,23770,772420,1231,70223,261,17588,22059,7283
2024-02-24,US,85050,2311,464,647,3416,24464,16192,578552,2997,16722,536,6326,9225,3968
2024-02-25,US,66569,2494,183,691,3166,21112,17726,637905,2771,6346,298,6317,6026,4356
2024-02-26,US,500452,5406,1428,671,12478,43504,29842,1228527,1011,50536,133,18616,16078,12168
2024-02-27,US,608019,5664,2030,0,12700,51142,31236,1685600,7968,68795,0,23140,18606,14906
2024-02-28,US,634425,5038,1612,0,14032,51132,33724,1188551,7367,73683,0,22133,28156,16350
2024-02-29,US,631446,6110,1592,735,12848,44438,34526,1535154,1298,58448,291,26212,23088,12309
2024-03-01,US,504587,5368,1474,733,10528,33970,28026,1358612,6277,58255,153,29392,17292,11044
2024-03-02,US,91572,2940,456,0,3590,19626,24482,791474,1851,16398,0,6818,9427,7449
2024-03-03,US,84138,4084,360,0,3622,22298,23684,690646,995,7475,0,4652,7078,7163
2024-03-04,US,540036,3079,1654,0,11944,46218,43252,745217,3022,51043,0,17751,18365,18081
2024-03-05,US,647034,5947,1506,0,14356,54234,47410,1421694,4975,59955,0,21238,31467,20164
2024-03-06,US,580864,4588,1358,736,13194,55156,45976,1422408,3611,57544,134,18846,17703,18157
2024-03-07,US,647084,3019,1824,1456,13964,51558,41052,965766,2844,49757,775,25068,23236,11964
2022-11-22,US,649219,12128,1514,483,17014,42030,69000,3538966,5626,34863,295,39231,20220,33108
2022-11-23,US,506843,7841,1324,470,9382,34984,49512,1811355,5489,48505,60,26596,8076,24711
2022-11-24,US,99944,7932,904,0,2826,13762,25580,5152116,7771,30130,0,9485,4473,12686
2022-11-25,US,377898,12184,1078,0,6650,25534,44458,5432480,3254,53140,0,31803,17621,21432
2022-11-26,US,146008,8481,458,469,2720,23714,41788,4723328,6088,43847,208,14172,10033,13621
2022-11-27,US,113027,8754,358,1030,3448,23238,55046,3168439,5118,23019,288,12378,8983,12880
2022-11-28,US,701263,14384,1200,0,14748,51574,122806,7119402,6605,80539,0,46154,21893,47269
2022-11-29,US,607036,10900,1514,481,13320,57894,142712,3928696,3342,37387,157,35037,16630,40694
2022-11-30,US,567809,11596,1324,470,12468,61888,127968,4525762,3313,45122,165,30110,21053,31783
2022-12-01,US,633497,8536,1346,467,15694,61700,107700,3823660,4338,41566,193,38888,18429,45507
2022-12-02,US,537994,10456,1248,464,13102,57756,77350,5491402,4347,41304,200,32549,23009,26192
2022-12-03,US,99170,5951,312,0,3278,29464,47136,2726767,1032,5231,0,3475,2041,5974
2022-12-04,US,81652,8848,246,0,2194,29682,44592,5401060,3391,5675,0,10810,5990,16457
2022-12-05,US,494748,15644,1276,492,11786,60722,69060,8649590,6528,39537,347,27099,15749,31500
2022-12-06,US,502474,9792,1300,484,11048,62694,81736,5745592,5508,39011,73,26869,24862,30830
2022-12-07,US,528210,10090,1506,0,13400,57902,84024,3511946,7706,28488,0,31822,22604,30895
2022-12-08,US,497056,9642,1346,466,10788,44422,71848,2096388,5247,35905,223,30230,23415,29241
2022-12-09,US,424863,8820,1248,0,10536,33566,69752,1649990,3697,29139,0,29884,16034,34887
2022-12-10,US,99833,7034,312,918,2692,16818,38696,1344306,4821,8494,432,14227,6890,17949
2022-12-11,US,82264,7720,246,1046,2204,17744,32074,2751504,2634,12618,926,5900,9123,16707
2022-12-12,US,410097,14106,1276,710,9598,26168,57122,4627324,5827,29981,703,30448,15758,30964
2022-12-13,US,474702,8002,1300,284,10424,27622,52602,1718258,3501,49402,221,35689,20388,24571
2022-12-14,US,405311,5956,1506,276,10090,15480,29646,1838906,1870,47788,87,33523,10894,25678
2022-12-15,US,343980,7378,1346,0,12178,14086,22496,2150334,3051,36217,0,29112,9035,23034
2022-12-16,US,220062,3709,1248,273,7476,13520,17292,1189150,758,26731,413,9357,3892,7026
2022-12-17,US,60282,6330,312,268,2000,9684,13624,2950934,2689,6676,292,8981,2820,5869
2022-12-18,US,49485,5111,246,307,1700,10234,14762,4219410,1276,5935,516,9550,6058,4989
2022-12-19,US,242808,5058,1276,0,6614,14430,16298,1697171,4253,27430,0,19552,19306,15072
2022-12-20,US,241228,2521,1300,283,7794,13552,16074,822713,941,39206,333,15926,8362,12116
2022-12-21,US,223449,304,1506,275,6008,13478,16230,85372,497,36110,162,26986,11027,11274
2022-12-22,US,216001,302,1346,271,5114,13394,11262,94004,464,33009,326,19243,4155,10435
2022-12-23,US,115285,72,1248,270,2886,11432,9834,26519,410,28651,99,13736,2987,6088
2022-12-24,US,30867,112,1094,263,1286,6404,7318,49608,2820,4498,113,5367,1506,3714
2022-12-25,US,30171,146,284,0,982,5076,8054,53106,892,3818,0,12753,1073,4756
2022-12-26,US,67138,135,234,288,2716,12542,10380,43543,454,17185,472,8323,3270,5105
2022-12-27,US,132222,64,576,283,4974,16330,9576,23707,1195,29281,174,24663,2924,6748
2024-07-30,US,610154,3117,2722,6180,13518,41640,29178,833197,2310,47680,5651,17962,25394,10555
2024-07-31,US,610002,3595,1878,6076,13624,40200,34134,864390,2846,44721,2693,20845,25201,13226
2024-08-01,US,521703,2455,3040,5465,11922,40078,31050,618710,1657,31040,3396,21117,18399,9596
2024-08-02,US,481773,3386,1942,7176,8870,34218,22950,771314,3805,33434,4831,11245,18864,7400
2024-08-03,US,80383,1869,642,4834,2664,17384,16656,266474,742,8773,1873,4431,7016,3317
2024-08-04,US,57175,948,562,6440,3052,18244,19422,154930,1307,4731,4508,5201,3100,6663
2024-08-05,US,514364,2130,2022,7724,13276,43494,27336,525572,3895,40314,4530,10788,21750,14441
2024-08-06,US,588780,2930,3308,8268,11972,40630,35770,663406,2188,40244,2763,12217,20037,7273
2024-08-07,US,572534,3751,2596,8346,15324,43176,35610,826709,3749,45260,4372,15021,25227,12224
2024-08-08,US,598755,3830,3040,6384,14156,43300,36152,790768,1869,39513,4251,9569,22661,16495
2024-08-09,US,522038,1868,1942,6157,11254,38072,27698,329278,2363,39530,2022,9962,17124,10955
2024-08-10,US,94579,2318,642,5286,4004,20136,17778,296070,1559,13550,1515,2803,10261,4285
2024-08-11,US,68933,2104,562,8100,4684,20480,17054,272693,3003,10532,1763,4384,5929,2567
2024-08-12,US,558929,3324,2022,7692,12970,50296,36772,563372,2451,47462,2390,13836,26169,10818
2024-08-13,US,671776,2304,3308,8228,15278,52460,43188,540523,4325,43208,3341,18023,35597,16036
2024-08-14,US,636381,2680,2596,8960,14308,52018,40596,391995,1444,63474,3894,12115,24041,20592
2024-08-15,US,597354,2162,3040,6992,15654,49574,34428,262544,3367,39564,2703,14302,30033,11289
2024-08-16,US,546750,1792,1942,7583,10552,40174,27974,184830,6193,46340,1796,14439,14255,11875
2024-08-17,US,95884,305,642,8834,3622,23092,21328,10996,170,7712,2605,5182,10069,6448
2024-08-18,US,80344,0,562,9246,3516,24096,19648,0,0,7053,5161,4434,7225,7947
2024-08-19,US,565585,334,2022,8940,14576,50188,36728,47812,2272,40193,3810,16325,19886,9209
2024-08-20,US,722139,980,3308,9882,13010,52588,43928,182482,2576,62889,2631,13706,22404,13454
2024-08-21,US,689436,2250,2596,9425,14496,49704,35686,501614,2319,56323,3891,19190,24601,11932
2024-08-22,US,686936,1604,3040,23,13406,49078,30522,333058,1938,56421,1626,12732,23394,6948
2024-08-23,US,540925,1037,1942,0,10692,40098,22428,210983,1899,44611,0,12313,18872,9309
2024-08-24,US,91225,1024,642,0,2844,21140,13284,149702,268,14717,198,3003,6063,3911
2024-08-25,US,65442,1352,562,0,3708,19558,16054,216151,1358,7692,0,2828,4538,3910
2024-08-26,US,584845,2671,2022,0,15186,55476,27362,606372,2303,53886,0,16899,19977,10823
2024-08-27,US,657063,2871,3308,0,12594,55782,33926,610682,3656,54669,0,14207,30769,8118
2024-08-28,US,729472,4316,2596,0,14392,55768,27734,924978,1824,66375,0,17760,22527,12801
2024-08-29,US,609936,3344,3040,9778,12428,52866,28314,699028,2196,53893,2204,12121,25174,11973
2024-08-30,US,508717,4803,1942,6840,8774,40298,19284,899596,2708,48318,3205,13389,16147,6716
2024-08-31,US,80854,2944,642,6904,3644,20584,11678,379898,2298,10480,2171,4897,7286,4054
2024-09-01,US,67514,3379,612,7924,3378,20284,12756,479262,870,6386,3603,9171,5527,5134
2024-09-02,US,104595,4356,4046,7910,5458,25396,12686,634149,1683,12117,3999,3997,10187,6269
2024-09-03,US,621987,6132,2618,8842,20170,58462,31616,1102468,1453,48730,3454,12644,25218,12788
2024-09-04,US,703495,4008,2070,7798,17574,58962,34032,736238,2242,57303,2278,9021,23759,24956
2025-01-27,US,560999,0,2292,2762,11394,64958,62322,0,0,45816,3871,20087,35184,17052
2025-01-28,US,677580,2792,2092,4660,11394,66192,71816,689320,1546,74865,2833,22693,35084,23746
2025-01-29,US,622245,3266,2704,5155,12150,63434,75582,777976,1538,80483,3325,19361,29652,20986
2025-01-30,US,613390,4169,2528,5076,11994,59690,67358,1277091,3141,49147,2861,23565,29140,21845
2025-01-31,US,514073,4228,1960,5130,10370,49140,57114,1053102,3152,52192,3179,15783,24295,16494
2025-02-01,US,117212,3326,706,5212,4750,26236,36578,536800,867,19101,2678,5919,10309,10756
2025-02-02,US,81620,3434,558,5499,4956,24092,36098,668883,1855,11935,1630,3897,10670,10313
2025-02-03,US,582119,4354,2946,4024,11494,63818,55368,964202,2433,49519,2836,22091,23339,14555
2025-02-04,US,635918,6398,2656,5533,15000,71314,58860,2410592,2789,51449,2911,24863,33241,21893
2025-02-05,US,623029,5302,2290,5667,14012,71698,61712,1648216,1634,55496,3480,25439,36543,19199
2025-02-06,US,666380,4320,2828,5276,13098,68114,57578,1089334,2380,55449,2913,23346,32103,26506
2025-02-07,US,583027,4403,2040,5279,11576,56622,45722,968214,2818,67126,2172,11306,24384,11426
2025-02-08,US,125959,2696,706,5020,4614,24962,24688,407878,2021,22061,4792,7092,10042,12517
2025-02-09,US,75499,2622,558,5354,4504,20050,24690,339746,1179,8185,1540,7368,8831,8294
2025-02-10,US,540240,4332,2946,4406,11486,59456,49508,1139248,2590,51191,2682,15133,32459,20962
2025-02-11,US,638992,4753,2656,3488,16060,70590,68552,1059319,2286,63700,3022,26592,27920,18428
2025-02-12,US,598924,2816,2290,3359,17906,67946,78828,943554,1571,55555,2265,37443,31644,21049
2025-02-13,US,594094,4087,2828,3301,15120,61710,69314,1353202,3159,51449,2983,27699,37529,25841
2025-02-14,US,460179,2180,2040,3357,11202,38420,49844,649818,1812,43568,3053,12796,29723,28042
2025-02-15,US,93843,3102,706,3193,4756,20248,34024,700100,1110,18103,3805,8149,6385,6239
2025-02-16,US,89300,3050,558,3466,4040,18860,29490,672586,1723,21011,3464,4801,14611,10692
2025-02-17,US,499071,2389,2946,3259,12568,47184,56494,590017,1736,55545,1978,20169,29888,17689
2025-02-18,US,600030,4690,2656,3378,14798,54494,66484,1426546,2263,59203,3173,14907,36132,18281
2025-02-19,US,532215,2173,2290,3242,14986,58228,60634,621518,3094,47409,4115,19437,18337,21855
2025-02-20,US,651932,4730,2828,3318,15918,49448,56378,1317060,1708,64039,2996,26644,28216,20484
2025-02-21,US,540285,3286,2040,3323,14534,39858,49582,962430,1048,50894,3039,19741,27402,29847
2025-02-22,US,108326,1630,706,3731,5548,17642,31548,371074,770,23115,3589,12148,7119,5855
2025-02-23,US,90852,1478,558,4060,4908,18108,32382,342794,1167,11662,1837,6819,11056,11709
2025-02-24,US,566597,4126,2946,3320,13966,45664,54170,1325526,4296,70270,2663,22036,28084,16437
2025-02-25,US,665944,2343,2656,2732,12608,37604,38654,706338,620,78119,2704,31368,37521,20546
2025-02-26,US,565377,2840,2290,2134,16028,32396,36044,946420,3080,68801,3479,21451,20141,16521
2025-02-27,US,658575,3338,2828,1846,12056,33494,34196,1117698,1521,70363,4272,17818,31055,15512
2025-02-28,US,546813,3806,2040,1058,10614,28748,30418,1288660,7813,54386,1776,23331,28518,12796
2025-03-01,US,118324,2148,804,1786,4166,15914,25856,632056,2957,25463,2649,6042,9069,8531
2025-03-02,US,89297,2266,590,1625,3652,16756,24568,630680,1300,14052,3557,5884,7731,6504
2025-03-03,US,589388,4736,1850,1507,11440,45630,38508,1268394,4205,59038,1760,22487,29001,17106
2025-03-04,US,483657,3230,1860,2871,13216,42382,47262,1200644,1453,30605,1818,4784,17085,7657
2022-09-11,US,78735,4032,224,1006,2372,9134,4448,6757908,1702,6565,645,8303,4744,6227
2022-09-12,US,602896,7278,1450,499,17582,20832,7532,7743684,8746,50948,336,23857,9168,19224
2022-09-13,US,696210,4616,1394,482,13848,22042,9028,3578075,3594,53134,313,27302,13156,22386
2022-09-14,US,630268,5330,1580,472,30912,23182,15980,2637438,10097,38757,686,33738,11090,11071
2022-09-15,US,645025,4446,1238,942,13326,23438,26378,1726380,6519,34748,299,32907,8078,17535
2022-09-16,US,574704,4162,1162,0,10732,18408,16422,1356190,2310,36930,0,27860,8813,14644
2022-09-17,US,89319,1896,282,463,3752,9838,16366,1077323,761,7345,285,6700,1572,8370
2022-09-18,US,107986,2597,224,1010,4544,9996,15858,1746488,2901,7238,400,5608,4864,12246
2022-09-19,US,634433,7332,1450,0,25116,22164,32784,3701342,10705,49166,0,30495,11340,22400
2022-09-20,US,651895,6230,1394,484,25960,24114,33742,3217446,1873,34130,417,26986,12855,17496
2022-09-21,US,692694,5432,1580,944,23946,23006,40610,2273236,4725,48528,728,28574,15521,12912
2022-09-22,US,687368,2755,1238,0,18906,22664,46798,1021019,1115,51492,0,34554,10370,23451
2022-09-23,US,619833,4310,1162,920,15178,18330,40036,1648948,1724,39231,411,25858,5565,17878
2022-09-24,US,94296,2185,282,471,4486,9572,18354,968492,1582,7245,108,9169,4550,7522
2022-09-25,US,83212,5724,224,1002,4184,10724,18278,3820868,6360,5052,936,5142,7221,6847
2022-09-26,US,592504,9126,1450,498,16854,22466,34342,5013216,3754,43129,274,32634,11673,13062
2022-09-27,US,713798,7648,1394,980,21882,25562,38970,3647084,3707,37223,533,30991,11307,29455
2022-09-28,US,658336,6480,1580,952,12090,23058,37364,2452102,4025,43540,312,28803,10523,16113
2022-09-29,US,699518,4073,1238,470,11362,23090,38792,1617537,13516,42175,324,21954,12230,21643
2022-09-30,US,528480,4846,1162,930,9746,20252,38732,1801516,5183,38235,1218,26191,11403,18638
2022-10-01,US,96671,2184,360,922,2984,10964,22056,847885,3075,8441,533,11360,5031,6052
2022-10-02,US,87455,4594,220,1016,2940,12678,25128,2973560,1862,4753,1225,9171,6610,11385
2022-10-03,US,557846,9118,1332,490,12564,23660,56946,4840112,6300,44935,132,36012,13443,19462
2022-10-04,US,588426,5100,1344,482,14576,25176,62972,1892962,2441,43884,280,34774,11348,23311
2022-10-05,US,710340,6620,1576,474,21546,28262,62198,2968278,10791,67510,278,36736,10438,18695
2022-10-06,US,664012,3747,1314,474,13792,25606,58490,1433132,1284,54820,305,32890,16814,18558
2022-10-07,US,655961,4996,1440,0,11182,21776,39362,2118444,773,49239,0,23828,12629,14771
2022-10-08,US,98076,2666,360,922,3634,14506,24136,1456171,1597,9041,799,9955,3812,10402
2022-10-09,US,69239,1862,220,498,3076,14550,22038,272574,1429,6920,81,5750,6484,8501
2022-10-10,US,571133,9146,1332,980,16308,26432,47502,3257086,6519,31586,284,22070,14193,18187
2022-10-11,US,637723,7652,1344,482,16766,32060,57258,2550816,1289,48464,110,33527,15837,19261
2022-10-12,US,726911,5059,1576,477,15544,33428,61762,2366745,1861,51683,91,29958,9239,19929
2022-10-13,US,677538,4338,1314,475,15348,33952,54496,1953191,4730,45636,280,31890,10866,21635
2022-10-14,US,627926,4846,1440,474,11770,25332,46770,1709216,2490,39769,272,24018,10014,12908
2022-10-15,US,106344,2423,360,926,2874,14348,26610,1161472,2275,8646,739,6576,4939,8179
2022-10-16,US,82034,4606,110,498,2554,13988,23734,2482364,1771,4416,183,9877,4417,6836
2024-12-22,US,30903,554,1212,1390,1732,9410,11010,77828,166,3406,155,3225,3362,3067
2024-12-23,US,145165,2270,488,1294,5066,19520,13052,647842,2374,31015,554,3028,14871,6176
2024-12-24,US,96923,888,830,1240,2634,11550,9498,195444,4529,36057,679,3652,6461,3269
2024-12-25,US,30659,1194,1414,606,1548,7654,6628,165096,433,9927,281,3819,4287,1747
2024-12-26,US,127471,2660,1882,1002,6002,22346,15734,607080,2333,35632,511,7686,11152,12184
2024-12-27,US,207333,878,1874,838,5302,22210,14010,162516,488,46302,922,11122,29691,11403
2024-12-28,US,64538,0,2180,404,3290,12884,11454,0,0,15705,526,4693,11509,5061
2024-12-29,US,66261,0,1186,850,2144,14882,12320,0,0,26900,408,4087,6427,3565
2024-12-30,US,234715,0,496,848,8474,30296,15492,0,0,45339,931,14751,15194,6318
2024-12-31,US,171233,0,2802,810,6474,22880,10738,0,0,37716,2671,15641,25052,10746
2025-01-01,US,57065,0,718,916,2938,16396,11722,0,0,8539,381,4916,12288,3750
2025-01-02,US,408590,2647,2528,940,9018,36556,21544,1226388,2336,60342,762,16701,22429,7857
2025-01-03,US,355113,4380,1960,908,6360,35348,22158,1968939,3087,41923,516,21339,22282,8018
2025-01-04,US,95773,1736,612,828,2768,21814,21434,588474,1282,14483,1594,3481,10395,5291
2025-01-05,US,50004,1436,532,992,2364,20168,21356,491898,2653,6596,1247,2676,7794,3642
2025-01-06,US,455382,4022,2292,1370,9248,41892,27136,1414238,4683,55664,1650,28629,26504,13330
2025-01-07,US,517772,1886,2092,602,11234,46700,35372,687122,966,59739,2093,24898,26513,16015
2025-01-08,US,546469,3971,2704,1676,11786,47950,41648,1378103,2227,61857,509,23855,33905,13759
2025-01-09,US,479783,3066,2528,2318,11934,46704,38570,1086062,2999,50825,2109,20926,28904,13791
2025-01-10,US,444652,2900,1960,1709,8938,43300,35486,1004920,2102,47242,2985,13432,22579,14131
2025-01-11,US,106332,1420,612,1684,3196,22188,25912,402866,1162,20997,1066,6170,6220,11746
2025-01-12,US,56918,1296,532,1793,3874,21334,27672,357346,3132,6532,1281,2589,10781,6225
2025-01-13,US,580014,3994,2292,2086,11660,49222,50038,1261124,2037,61280,3014,28805,34596,16281
2025-01-14,US,563158,4088,2092,2151,13446,55884,54306,1159690,3072,58869,1533,29364,27598,20785
2025-01-15,US,620316,2780,2704,2836,15784,51482,55316,720226,3268,69542,1994,24770,32375,17745
2025-01-16,US,614092,4036,2528,2780,20170,56324,47600,1198280,1473,66860,1710,25968,25843,13238
2025-01-17,US,521307,4289,1960,2430,17736,52566,39958,1045493,3136,49335,1274,13298,20586,12576
2025-01-18,US,134317,2586,612,2492,3496,21516,27694,403786,1690,21025,2747,5093,14727,11737
2025-01-19,US,61992,1528,532,2660,3022,19130,23710,225657,819,7849,962,3974,8598,5653
2025-01-20,US,409455,4304,2292,3062,7646,43532,37758,856108,1567,31600,1875,7331,26243,15313
2025-01-21,US,514149,4206,2092,3088,12156,57684,43916,1106042,2401,53680,1276,20905,21219,11505
2025-01-22,US,646852,2973,2704,2884,12404,64298,53030,778554,2230,79425,603,19015,31392,22256
2025-01-23,US,696097,3628,2528,3194,10820,57940,53402,778178,4279,64698,2110,30605,40366,23479
2025-01-24,US,549964,2482,1960,3135,9584,50652,46050,705236,1653,56739,1647,16259,30521,15381
2025-01-25,US,121330,3114,612,2776,4264,24614,28294,373410,1366,23410,3006,6128,10020,9218
2025-01-26,US,90152,1131,532,2739,3152,24088,31096,101679,247,9029,2943,10233,10097,10349
2023-09-09,US,88421,3102,458,235,2942,21178,24764,574340,1814,8883,434,9306,13468,8334
2023-09-10,US,71056,6836,372,267,2760,27352,27354,1175768,3186,7004,291,5590,6925,7802
2023-09-11,US,617955,8876,1352,530,19484,50364,59832,1817144,3187,48075,510,29813,37302,22513
2023-09-12,US,637567,9172,1682,256,22100,63604,62218,2007868,5547,46258,83,36702,22539,27064
2023-09-13,US,668634,8090,1412,500,19726,64356,63968,1527160,3939,37494,2255,41140,22728,21823
2023-09-14,US,645952,7712,1750,470,20566,66546,61916,1420964,5950,50745,289,32288,15435,26935
2023-09-15,US,540183,6862,1516,0,14346,52554,61240,1146100,3184,39449,0,23201,16676,23606
2023-09-16,US,110079,5734,458,0,3516,32970,41226,778072,2223,9295,0,10773,8386,9501
2023-09-17,US,76916,5192,372,0,3972,33670,46286,752406,3854,2776,0,5323,7611,12312
2023-09-18,US,636544,7622,1352,0,14816,55800,76958,1320554,3368,36173,0,29859,30252,31501
2023-09-19,US,674818,4051,1682,0,19034,59078,54144,755568,2077,38465,0,32310,20537,19937
2023-09-20,US,648892,7041,1412,302,21184,54636,59978,1205461,4755,35502,384,40486,24456,27744
2023-09-21,US,667229,8462,1750,592,20556,50870,64406,1510192,6543,41136,758,29827,23195,24732
2023-09-22,US,532529,7760,1516,572,15434,35830,49202,1411208,5050,33645,686,26376,28050,24634
2023-09-23,US,104503,7316,458,0,6216,23876,27544,1151176,2184,8905,0,16395,6003,11390
2023-09-24,US,84839,6387,372,320,5476,21224,26424,953585,5074,10148,338,5662,4603,9258
2023-09-25,US,601890,5308,1352,0,20570,39724,49664,974206,4328,43563,0,19236,17941,18596
2023-09-26,US,806954,7408,1682,302,21370,42464,59234,1639950,6010,64618,421,32808,19371,31854
2023-09-27,US,798407,8160,1412,299,26826,39364,67512,1688934,4814,59611,149,32911,15191,19906
2023-09-28,US,757561,8616,1750,0,22224,41400,55376,1791714,3584,57685,0,32188,18229,24137
2023-09-29,US,768090,7496,1516,0,16866,29534,41034,1600076,4417,65297,0,30899,14123,21017
2023-09-30,US,131713,2096,458,282,3660,16302,28244,387752,1690,21708,566,7996,7023,13612
2023-10-01,US,16286,3468,354,0,1860,7467,27826,598094,255,1399,0,2618,1208,2316
2023-10-02,US,827899,7812,1190,628,16890,32138,57298,1529910,4991,62577,887,30972,24111,36530
2023-10-03,US,829559,8120,1268,608,21430,40792,60226,1832918,3024,72996,778,35828,21614,28723
2023-10-04,US,866296,8516,1356,297,20310,36184,52320,1733718,6493,66473,266,38599,21062,27671
2023-10-05,US,779757,8738,2046,292,16188,37110,48692,1642700,4715,54656,82,29056,16666,22032
2023-10-06,US,714470,8434,1954,294,13168,32532,40624,1655320,6549,41522,357,28596,26191,24783
2023-10-07,US,124944,7346,468,282,3570,20754,20982,1145900,4433,10206,439,11499,7168,10213
2023-10-08,US,91028,6996,354,0,2508,19646,21042,1124926,3659,4271,0,4703,5512,10792
2023-10-09,US,720409,4832,1190,311,12904,41060,49170,982848,4393,51343,410,28136,16333,14070
2023-10-10,US,896701,8340,1268,304,16192,47692,45824,1890942,4910,83065,100,38508,21649,27825
2023-10-11,US,917218,6215,1356,139,13606,52556,42776,1343787,5748,89347,303,35088,22563,23820
2023-10-12,US,889830,6662,2046,0,13922,57510,39058,1357364,6339,94033,0,28036,24149,17921
2023-10-13,US,707109,6002,1954,0,10058,39738,28582,1224338,4864,69975,0,21023,14005,15420
2023-10-14,US,133767,2196,468,0,3356,23622,19936,405050,1838,13539,0,6735,8598,5891
2022-12-28,US,235556,111,1510,548,6976,16316,8986,42586,876,27250,1383,25182,5401,8127
2022-12-29,US,234566,206,1574,273,5510,14996,8744,83058,1066,26771,147,22491,3909,7815
2022-12-30,US,174272,89,1364,544,5428,12800,11160,35922,891,29932,214,19678,4840,16144
2022-12-31,US,65009,0,312,266,1216,3430,16374,0,0,6019,586,3072,697,2767
2023-01-01,US,42841,0,756,600,1790,10146,15482,0,0,5304,176,5682,1336,7578
2023-01-02,US,112140,302,1468,288,4520,12112,16196,127394,3465,22031,379,12754,3231,5898
2023-01-03,US,485586,94,1724,562,9038,19500,53610,44253,510,44755,430,33017,5473,10598
2023-01-04,US,431285,101,1754,274,10664,36854,49542,49496,1282,32327,298,29819,6376,14558
2023-01-05,US,428539,234,1268,273,18648,32606,73900,108010,1186,24441,118,34355,9285,20219
2023-01-06,US,393303,377,1394,0,8192,28908,52738,183755,1895,36688,0,28395,10774,16102
2023-01-07,US,76004,962,176,0,3514,17416,37300,355597,885,11189,0,7231,2436,7298
2023-01-08,US,51110,986,258,303,2382,15116,36532,404300,847,6819,461,5863,1393,4928
2023-01-09,US,443241,1762,1468,288,13444,38996,62032,598895,1259,30401,414,28004,6885,15131
2023-01-10,US,591084,875,1724,282,17802,40774,64398,318320,1967,36269,166,39737,6741,21273
2023-01-11,US,558505,1712,1754,0,15364,46120,57426,651182,8042,29549,0,28327,8405,25408
2023-01-12,US,633642,2488,1268,270,14808,44344,60848,997984,3960,29486,220,33039,7755,20278
2023-01-13,US,537626,2092,1394,542,13948,41194,46084,797518,1100,38889,486,26349,5766,16396
2023-01-14,US,114264,1346,352,546,3970,19866,30802,452565,1300,8823,334,9534,3785,6705
2023-01-15,US,88288,1924,129,305,2888,16938,26784,655674,794,7117,97,6174,2359,6863
2023-01-16,US,507093,2726,1468,0,13256,37954,39072,861428,1328,43721,0,32221,6369,14506
2023-01-17,US,550190,1637,1724,0,19154,45950,51738,625196,2156,33656,0,33093,11297,15329
2023-01-18,US,642439,2852,1754,272,30148,46886,52470,1015132,4620,49012,970,32869,7099,18309
2023-01-19,US,624895,2360,1268,270,17372,40962,57754,706756,792,23320,444,26338,4553,13296
2023-01-20,US,578493,2536,1394,0,15098,32528,50640,846346,2123,43533,0,29530,11286,24036
2023-01-21,US,120189,1434,352,269,3236,16094,25498,430250,1794,13179,100,14156,6961,11487
2023-01-22,US,80314,1138,129,610,3156,15998,21128,348540,728,5155,535,9354,7985,12238
2023-01-23,US,561915,4322,734,0,22574,35560,42306,1351124,2300,34314,0,28398,10489,18720
2023-01-24,US,629283,3704,1724,564,18690,48356,47978,1140554,5413,35268,362,37237,14862,21170
2023-01-25,US,629656,3986,1754,542,18202,41744,53934,1223012,7581,37371,448,35188,17975,21583
2023-01-26,US,612582,3804,1268,269,15644,37942,46806,1121162,3742,28801,98,23413,17406,23713
2023-01-27,US,567951,3752,1394,0,15734,31738,106270,1098246,2121,40017,0,31237,13188,27549
2023-01-28,US,121432,2660,352,272,3952,17380,29524,727224,1968,12220,411,10074,8332,10413
2023-01-29,US,81731,2572,258,598,3486,19616,32216,749634,1344,5765,445,9438,8233,9963
2023-01-30,US,581204,6344,1468,286,14958,40922,68406,1834190,4573,41423,79,25098,17156,15334
2023-01-31,US,589632,2856,1724,281,17598,49240,82846,989537,2257,36041,712,25634,19542,24259
